Date,Close,Volume,Open,High,Low
03/16/2022,79.96,14071330,81.00,81.23,77.75
03/15/2022,80.60,16847190,78.05,81.54,77.07
03/14/2022,77.07,13306300,77.92,78.60,75.44
03/11/2022,77.82,22795850,76.70,79.90,74.00
03/10/2022,76.65,13812600,75.10,76.85,75.03
03/09/2022,76.10,8959496,74.92,76.95,74.69
03/08/2022,73.33,9134057,73.84,75.23,73.115
03/07/2022,74.32,11110150,76.29,76.39,73.445
03/04/2022,76.49,8841964,77.67,77.91,75.78
03/03/2022,78.25,8203025,78.96,79.04,77.43
03/02/2022,78.28,8527165,76.45,78.86,76.25
03/01/2022,76.01,8752131,75.98,76.4999,75.62
02/28/2022,75.97,9234369,75.57,76.6998,75.02
02/25/2022,76.35,8291803,74.65,76.835,74.32
02/24/2022,74.81,11240470,70.94,74.945,70.23
02/23/2022,72.47,6807081,74.07,74.38,72.35
02/22/2022,74.12,8039023,73.82,74.91,73.62
02/18/2022,74.57,7790102,75.50,75.73,74.28
02/17/2022,75.53,9247133,78.76,78.98,75.33
02/16/2022,79.19,6227096,79.47,79.7817,78.22
02/15/2022,79.77,5713602,79.39,79.925,79.21
02/14/2022,78.95,5389794,79.58,79.73,78.44
02/11/2022,79.75,7670453,81.84,82.43,79.5338
02/10/2022,81.85,6336287,82.75,83.78,81.62
02/09/2022,83.45,8755857,81.745,83.65,81.65
02/08/2022,80.79,6585399,80.29,80.86,79.8001
02/07/2022,80.74,6292225,82.14,82.25,80.66
02/04/2022,82.11,5570209,82.03,82.91,81.475
02/03/2022,81.94,8207183,81.63,82.759,81.63
02/02/2022,82.50,9287553,81.16,82.88,80.84
02/01/2022,81.04,8016863,81.40,81.40,79.645
01/31/2022,81.16,10594230,80.49,81.64,80.12
01/28/2022,80.48,7854679,79.99,80.50,78.57
01/27/2022,79.78,10333980,80.11,81.15,79.20
01/26/2022,79.59,13971280,81.91,82.03,79.275
01/25/2022,81.07,13469910,81.33,82.10,80.20
01/24/2022,82.42,16771780,81.22,82.42,79.59
01/21/2022,82.22,11608990,83.36,83.39,82.03
01/20/2022,82.72,10836880,83.92,85.00,82.52
01/19/2022,83.38,10501780,85.77,86.69,83.23
01/18/2022,85.55,6827937,86.87,86.97,85.34
01/14/2022,87.69,6054842,87.48,88.10,86.66
01/13/2022,87.79,6044282,88.73,88.92,87.55
01/12/2022,88.31,5840337,88.89,89.52,87.67
01/11/2022,88.48,7249777,88.64,89.00,87.4101
01/10/2022,89.28,11025510,87.38,89.38,86.952
01/07/2022,87.51,9836795,86.45,88.00,86.2801
01/06/2022,86.34,7918392,86.00,87.4189,85.55
01/05/2022,86.46,11236680,88.49,88.60,86.22
01/04/2022,88.84,11958980,87.90,89.5843,87.73
01/03/2022,87.90,10653480,87.33,87.94,85.76
12/31/2021,87.21,5908158,88.05,88.10,87.18
12/30/2021,88.01,7382356,88.65,88.91,87.77
12/29/2021,88.21,5628531,88.50,89.19,87.7164
12/28/2021,88.65,5614472,89.70,89.80,88.52
12/27/2021,89.54,7668988,89.70,90.33,89.02
12/23/2021,89.72,9655431,90.03,90.36,89.06
12/22/2021,89.86,10538960,91.27,91.86,89.51
12/21/2021,91.51,15822980,91.805,91.84,89.71
12/20/2021,91.64,17205400,96.42,96.42,91.52
12/17/2021,96.62,28961170,97.69,99.95,95.81
12/16/2021,103.22,9053176,103.95,104.00,102.28
12/15/2021,103.65,14452220,100.58,103.76,100.24
12/14/2021,99.89,9511569,99.995,101.46,99.39
12/13/2021,100.89,16317620,102.44,104.36,100.5225
12/10/2021,102.63,45824640,104.29,106.34,100.10
12/09/2021,88.77,8615780,89.12,89.99,88.24
12/08/2021,88.94,7695809,90.05,90.17,87.91
