Date,Close,Volume,Open,High,Low
06/21/2022,282.73,2550168,278.15,284.3129,277.67
06/17/2022,275.38,4446097,272.61,278.59,270.93
06/16/2022,270.90,2741772,275.35,275.40,269.09
06/15/2022,281.19,2536026,276.98,285.85,276.10
06/14/2022,275.12,2052592,274.65,277.25,272.61
06/13/2022,276.50,2414234,276.66,281.31,274.86
06/10/2022,286.01,2169887,290.89,291.22,285.98
06/09/2022,295.43,2497945,300.65,302.62,294.75
06/08/2022,302.64,1428637,305.00,307.41,301.7321
06/07/2022,306.53,2311101,300.43,306.885,300.41
06/06/2022,304.73,1401045,310.00,312.32,303.775
06/03/2022,304.95,1714525,302.30,306.82,301.92
06/02/2022,306.62,1318522,299.96,306.76,297.88
06/01/2022,298.65,1784565,304.13,306.71,297.38
05/31/2022,298.46,4143704,302.40,303.32,296.70
05/27/2022,304.15,2759014,293.44,304.17,293.44
05/26/2022,291.55,2742760,282.44,292.88,281.11
05/25/2022,279.64,1812625,278.33,281.34,275.24
05/24/2022,279.31,2088661,279.82,281.03,273.05
05/23/2022,283.39,2128880,281.28,283.93,276.16
05/20/2022,276.65,3007904,275.58,278.40,268.17
05/19/2022,273.61,2679603,270.15,278.00,269.70
05/18/2022,274.16,2666113,286.87,287.245,272.415
05/17/2022,291.07,1598041,294.68,294.68,288.20
05/16/2022,286.17,1598017,284.68,288.97,282.05
05/13/2022,286.77,2373571,283.04,288.67,280.99
05/12/2022,281.21,2284602,278.00,281.66,274.79
05/11/2022,280.94,2398636,285.73,288.49,280.46
05/10/2022,287.59,2634603,290.00,292.40,283.75
05/09/2022,287.49,2584159,290.66,292.49,285.86
05/06/2022,295.74,2476987,295.65,297.06,289.71
05/05/2022,298.70,2231930,310.71,312.195,294.61
05/04/2022,314.86,1900152,303.15,315.88,300.81
05/03/2022,304.82,2121684,306.68,307.625,302.71
05/02/2022,304.60,2528925,300.46,306.05,297.25
04/29/2022,300.36,2972089,310.00,311.98,299.80
04/28/2022,313.84,2215301,308.16,316.14,305.62
04/27/2022,303.10,1821239,302.98,309.31,302.38
04/26/2022,303.10,2101493,311.62,315.11,302.10
04/25/2022,316.82,2049731,309.39,317.13,306.24
04/22/2022,310.80,1906809,321.02,323.84,310.305
04/21/2022,322.31,1910213,326.19,330.32,321.34
04/20/2022,323.67,2273615,324.03,328.38,322.6165
04/19/2022,320.57,1758190,312.71,320.80,312.15
04/18/2022,313.60,2479446,318.52,321.00,310.83
04/14/2022,319.47,2964861,326.88,328.28,319.29
04/13/2022,325.59,2081424,324.34,327.35,323.24
04/12/2022,326.73,1834979,329.73,333.95,326.25
04/11/2022,327.27,2445443,336.10,337.42,324.86
04/08/2022,338.92,2169979,342.43,344.30,338.27
04/07/2022,341.77,2313131,338.99,344.81,337.81
04/06/2022,340.26,2299027,338.29,341.93,334.535
04/05/2022,342.82,3058275,341.50,345.295,341.50
04/04/2022,344.47,2317489,341.99,344.76,340.05
04/01/2022,340.64,2090296,338.59,341.30,336.35
